69.453: [GC [PSYoungGen: 252128K->5856K(254464K)] 656732K->415820K(778752K), 0.0421422 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
70.407: [GC [PSYoungGen: 252640K->4992K(254464K)] 662604K->420820K(778752K), 0.0381199 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
71.368: [GC [PSYoungGen: 251776K->4672K(254464K)] 667604K->425476K(778752K), 0.0368721 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
72.320: [GC [PSYoungGen: 251456K->4768K(254464K)] 672260K->430260K(778752K), 0.0369645 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
73.269: [GC [PSYoungGen: 251552K->7008K(254464K)] 677044K->437292K(778752K), 0.0422986 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
74.230: [GC [PSYoungGen: 253792K->5120K(254464K)] 684076K->442100K(778752K), 0.0405244 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
75.213: [GC [PSYoungGen: 251904K->5856K(254464K)] 688884K->447972K(778752K), 0.0385313 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
76.175: [GC [PSYoungGen: 252640K->5216K(254464K)] 694756K->453204K(778752K), 0.0389644 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
77.143: [GC [PSYoungGen: 252000K->4672K(254464K)] 699988K->457884K(778752K), 0.0383889 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
78.103: [GC [PSYoungGen: 251456K->4768K(254464K)] 704668K->462604K(778752K), 0.0376238 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
79.055: [GC [PSYoungGen: 251552K->6976K(254464K)] 709388K->469604K(778752K), 0.0410393 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
80.010: [GC [PSYoungGen: 253760K->5024K(254464K)] 716388K->474284K(778752K), 0.0641906 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
81.016: [GC [PSYoungGen: 251808K->6016K(254464K)] 721068K->480284K(778752K), 0.0436017 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
81.996: [GC [PSYoungGen: 252800K->5248K(254464K)] 727068K->485508K(778752K), 0.0450477 secs] [Times: user=0.06 sys=0.00, real=0.05 secs] 
82.976: [GC [PSYoungGen: 252032K->4608K(254464K)] 732292K->490156K(778752K), 0.0403921 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
83.942: [GC [PSYoungGen: 251392K->4832K(254464K)] 736940K->494988K(778752K), 0.0362764 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
84.902: [GC [PSYoungGen: 251616K->6944K(254464K)] 741772K->501924K(778752K), 0.0686980 secs] [Times: user=0.13 sys=0.00, real=0.07 secs] 
85.923: [GC [PSYoungGen: 253728K->5088K(254464K)] 748708K->506692K(778752K), 0.0333787 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
86.900: [GC [PSYoungGen: 251872K->5888K(254464K)] 753476K->512580K(778752K), 0.0776925 secs] [Times: user=0.11 sys=0.00, real=0.08 secs] 
